day,date,week,phase,platform_primary,platform_adaptations,format,content_pillar,objective,funnel_stage,topic,narrative_angle,hook,on_screen_text,visual_concept,caption,cta,hashtags,dimensions,duration,assets_required,visual_prompt,motion_prompt,master_file,export_file,destination_folder,status,approval,publication_time,notes
1,2026-07-27,1,Fase 1: Posicionamiento · Problema · Educación,Instagram,"TikTok, Facebook, YouTube Short",Reel/Short,Control del negocio,Agitar el dolor y generar identificación.,TOFU (Atención),El caos del WhatsApp desordenado,"Mostrar el dolor real: capturas, audios, “¿ya sumaste?”, errores en cocina.",POV: son las 2 pm y tu WhatsApp es un caos de pedidos,¿Así tomas tus pedidos?,[T01-pain] ¿Así tomas tus pedidos?,"POV: son las 2 pm y tu WhatsApp es un caos de pedidos

Mostrar el dolor real: capturas, audios, “¿ya sumaste?”, errores en cocina.

Con StreetBoss tu menú se vuelve un escaparate: el cliente arma su pedido y te cae ordenado al WhatsApp. Vende directo. Manda tú.

Comenta “DIRECTO” y te mandamos cómo se ve tu menú.

#StreetBoss #VendeDirecto #Restaurantes",Comenta “DIRECTO” y te mandamos cómo se ve tu menú.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Escena editorial que ilustra el dolor operativo de un restaurante: El caos del WhatsApp desordenado. Ambiente de cocina/mostrador real, luz tensa, tonos oscuros, sensación de saturación y desorden. Enfoque en manos y objetos (teléfono, tickets, comandas), sin rostros. Espacio negativo para texto. Sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara nerviosa handheld, cortes rápidos que transmiten saturación; whip-pan entre teléfono y cocina; resolución de tensión al aparecer el escaparate ordenado.",04-social-templates/pain/T01-pain.md,day-01_el-caos-del-whatsapp-desordenado_pain.png,07-reels/month-01/,PENDIENTE,NO APROBADO,13:30,"Adaptar hook/duración por plataforma: TikTok, Facebook, YouTube Short."
2,2026-07-28,1,Fase 1: Posicionamiento · Problema · Educación,Instagram,"LinkedIn Document, Facebook",Carrusel,Educación gastronómica,Educar y posicionar la categoría. Guardados y autoridad.,MOFU (Interés/Demostración),Por qué el PDF te cuesta dinero,Educar sobre fricción del PDF vs. escaparate transaccional.,3 razones por las que tu menú en PDF pierde pedidos,El PDF no vende,[T07-carousel-edu] El PDF no vende,"3 razones por las que tu menú en PDF pierde pedidos

Guárdalo para tu negocio de comida.

Educar sobre fricción del PDF vs. escaparate transaccional.

En StreetBoss convertimos tu menú en un escaparate que vende directo, sin comisiones.

Guarda esto y compártelo con ese restaurante que lo necesita.

#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta",Guarda esto y compártelo con ese restaurante que lo necesita.,#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Por qué el PDF te cuesta dinero. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/carousel/T07-carousel-edu.md,day-02_por-que-el-pdf-te-cuesta-dinero_carousel.png,06-posts/month-01/,PENDIENTE,NO APROBADO,12:00,"Adaptar hook/duración por plataforma: LinkedIn Document, Facebook."
3,2026-07-29,1,Fase 1: Posicionamiento · Problema · Educación,Instagram,"TikTok, YouTube Short",Reel/Short,Producto,Demostrar fricción cero y capacidades reales del escaparate.,MOFU (Interés/Demostración),Del link al pedido en 20 segundos,Demo real: abrir link → tocar platillo → agregar → enviar a WhatsApp.,Mira cómo se arma un pedido perfecto en 20 segundos,Fricción cero,[T05-product] Fricción cero,"Mira cómo se arma un pedido perfecto en 20 segundos

Demo real: abrir link → tocar platillo → agregar → enviar a WhatsApp.

Así de simple: tu comida bien mostrada y el pedido perfecto en tu WhatsApp. Sin comisiones, sin apps que descargar.

Pídenos una demo por WhatsApp. Sin compromiso.

#StreetBoss #VendeDirecto #Restaurantes",Pídenos una demo por WhatsApp. Sin compromiso.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Screen capture real del escaparate · Tipografía Poppins/Inter,"Mockup 3D hiperrealista de un celular mostrando un escaparate digital de restaurante (interfaz oscura, tarjetas de producto con foto grande y botón naranja), sostenido por una mano sobre una mesa de restaurante con ingredientes desenfocados al fondo (bokeh). Iluminación de estudio dramática, fondo oscuro. Concepto: Del link al pedido en 20 segundos. Sin logo (se integra después). Proporciones de UI precisas y legibles. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",Screen-capture real de la interfaz + planos B-roll de la mano tocando la pantalla. Movimiento de seguimiento suave del dedo (tap → agregar → enviar). Zoom sutil al ticket de WhatsApp. Cortes rápidos al beat.,04-social-templates/product/T05-product.md,day-03_del-link-al-pedido-en-20-segundos_product.png,07-reels/month-01/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
4,2026-07-30,1,Fase 1: Posicionamiento · Problema · Educación,Instagram,Facebook,Post gráfico,Comparativas,Diferenciar con datos y comparativas claras.,MOFU (Interés/Demostración),0% de comisión,Afirmación fuerte y verificable: StreetBoss no cobra % por venta.,0% de comisión por pedido. Punto.,Cero comisiones,[T08-data] Cero comisiones,"0% de comisión por pedido. Punto.

Afirmación fuerte y verificable: StreetBoss no cobra % por venta.

StreetBoss: la plataforma visual de venta directa para restaurantes.

Escríbenos por WhatsApp y arma tu escaparate.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Escríbenos por WhatsApp y arma tu escaparate.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre 0% de comisión. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/data/T08-data.md,day-04_0-de-comision_data.png,06-posts/month-01/,PENDIENTE,NO APROBADO,18:30,Adaptar hook/duración por plataforma: Facebook.
5,2026-07-31,1,Fase 1: Posicionamiento · Problema · Educación,Instagram,"TikTok, YouTube Short",Reel/Short,Fotografía gastronómica,Deseo/branding aspiracional (FoodPorn). Alcance y recordación.,TOFU (Atención),Tacos al pastor en cámara lenta,"Puro antojo: textura, brillo, vapor. Cierre con el link para pedir.",El trompo girando y la grasa brillando en 4K,Se ve. Se antoja. Se pide.,[T06-foodporn] Se ve. Se antoja. Se pide.,"El trompo girando y la grasa brillando en 4K

Así se ve tu menú antes de que lleguen. Tu tacos al pastor con piña merece una vitrina, no una lista.

Escaparate digital + pedido directo a tu WhatsApp.

El link de tu escaparate va en tu bio. Nosotros te lo armamos.

#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes",El link de tu escaparate va en tu bio. Nosotros te lo armamos.,#StreetBoss #FoodPorn #ComidaMexicana #Antojo #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fotografía hiperrealista de producto gastronómico de alta gama: tacos al pastor con piña. Estilo Food Porn premium. Luz dura moody que resalte texturas, brillo de la grasa y volumen. Fondo oscuro con textura de madera carbonizada. Colores saturados del espectro del apetito. Macro/close-up, lente 85mm, calidad cinematográfica. Sin logo, sin texto. Manos permitidas, sin rostros. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara lenta cinematográfica (slow motion). Movimiento de push-in macro hacia la textura; vapor/goteo natural; ligero parallax. 24-30fps, transiciones por match-cut de textura.",04-social-templates/foodporn/T06-foodporn.md,day-05_tacos-al-pastor-en-camara-lenta_foodporn.png,07-reels/month-01/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
6,2026-08-01,1,Fase 1: Posicionamiento · Problema · Educación,Instagram,Facebook,Post gráfico,Cultura StreetBoss,"Construir marca, comunidad y pertenencia.",TOFU (Atención),"El que cocina, manda",Pieza de manifiesto: soberanía del restaurantero.,"El que cocina, manda.",Manifiesto,[T10-culture] Manifiesto,"El que cocina, manda.

Pieza de manifiesto: soberanía del restaurantero.

StreetBoss existe para que tu restaurante venda bajo sus propias reglas.

Síguenos para vender directo y mandar tú.

#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida",Síguenos para vender directo y mandar tú.,#StreetBoss #Restaurantes #Emprendimiento #NegociosDeComida,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre El que cocina, manda. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/brand/T10-culture.md,day-06_el-que-cocina-manda_culture.png,06-posts/month-01/,PENDIENTE,NO APROBADO,11:00,Adaptar hook/duración por plataforma: Facebook.
7,2026-08-02,1,Fase 1: Posicionamiento · Problema · Educación,Instagram,"Facebook, LinkedIn",Post gráfico,Precio fundador,Convertir: activar cupo fundador y resolver objeciones.,BOFU (Conversión),Precio fundador de lanzamiento,"Presentación limpia de la oferta ancla, sin dark patterns.",Precio fundador: $100 MXN mensuales,Cupo fundador abierto,[T13-founder-price] Cupo fundador abierto,"Precio fundador: $100 MXN mensuales

Se buscan restaurantes y negocios de comida que quieran probar su escaparate digital con precio fundador de lanzamiento: $100 MXN mensuales.

Sin comisiones por pedido. Sin apps. Tu escaparate, tu WhatsApp, tu marca.

Cupo fundador abierto. Escríbenos por WhatsApp.

#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto",Cupo fundador abierto. Escríbenos por WhatsApp.,#StreetBoss #PrecioFundador #Restaurantes #VendeDirecto,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Precio fundador de lanzamiento. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/commercial/T13-founder-price.md,day-07_precio-fundador-de-lanzamiento_commercial.png,06-posts/month-01/,PENDIENTE,NO APROBADO,19:00,"Adaptar hook/duración por plataforma: Facebook, LinkedIn."
8,2026-08-03,2,Fase 1: Posicionamiento · Problema · Educación,Instagram,"TikTok, Facebook, YouTube Short",Reel/Short,Control del negocio,Agitar el dolor y generar identificación.,TOFU (Atención),El menú en PDF que espanta,"El PDF obliga a hacer zoom, sumar a mano y escribir todo. Fricción = pedido perdido.",Tu cliente abrió tu menú… y se salió en 3 segundos,El PDF no vende,[T01-pain] El PDF no vende,"Tu cliente abrió tu menú… y se salió en 3 segundos

El PDF obliga a hacer zoom, sumar a mano y escribir todo. Fricción = pedido perdido.

Con StreetBoss tu menú se vuelve un escaparate: el cliente arma su pedido y te cae ordenado al WhatsApp. Vende directo. Manda tú.

Comenta “DIRECTO” y te mandamos cómo se ve tu menú.

#StreetBoss #VendeDirecto #Restaurantes",Comenta “DIRECTO” y te mandamos cómo se ve tu menú.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Escena editorial que ilustra el dolor operativo de un restaurante: El menú en PDF que espanta. Ambiente de cocina/mostrador real, luz tensa, tonos oscuros, sensación de saturación y desorden. Enfoque en manos y objetos (teléfono, tickets, comandas), sin rostros. Espacio negativo para texto. Sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.","Cámara nerviosa handheld, cortes rápidos que transmiten saturación; whip-pan entre teléfono y cocina; resolución de tensión al aparecer el escaparate ordenado.",04-social-templates/pain/T01-pain.md,day-08_el-menu-en-pdf-que-espanta_pain.png,07-reels/month-01/,PENDIENTE,NO APROBADO,13:30,"Adaptar hook/duración por plataforma: TikTok, Facebook, YouTube Short."
9,2026-08-04,2,Fase 1: Posicionamiento · Problema · Educación,Instagram,"LinkedIn Document, Facebook",Carrusel,Educación gastronómica,Educar y posicionar la categoría. Guardados y autoridad.,MOFU (Interés/Demostración),Marketplace vs. venta directa,Cuándo sí conviene la app y cuándo dar tu link directo.,¿Cliente nuevo o cliente tuyo? La diferencia de 30%,Directo manda,[T07-carousel-edu] Directo manda,"¿Cliente nuevo o cliente tuyo? La diferencia de 30%

Guárdalo para tu negocio de comida.

Cuándo sí conviene la app y cuándo dar tu link directo.

En StreetBoss convertimos tu menú en un escaparate que vende directo, sin comisiones.

Guarda esto y compártelo con ese restaurante que lo necesita.

#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta",Guarda esto y compártelo con ese restaurante que lo necesita.,#StreetBoss #MarketingGastronomico #Restaurantes #VentaDirecta,1080x1350,N/A,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Tipografía Poppins/Inter,"Fondo/composición premium para pieza gráfica de marca sobre Marketplace vs. venta directa. Fondo Boss Charcoal texturizado (pizarra/metal oscuro), acento naranja #FF4B00, mucho espacio negativo para titular en Poppins ExtraBold. Estética FoodTech internacional, minimalista, alto contraste. Sin texto generado por IA, sin logo. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",N/A,04-social-templates/carousel/T07-carousel-edu.md,day-09_marketplace-vs-venta-directa_carousel.png,06-posts/month-01/,PENDIENTE,NO APROBADO,12:00,"Adaptar hook/duración por plataforma: LinkedIn Document, Facebook."
10,2026-08-05,2,Fase 1: Posicionamiento · Problema · Educación,Instagram,"TikTok, YouTube Short",Reel/Short,Producto,Demostrar fricción cero y capacidades reales del escaparate.,MOFU (Interés/Demostración),El pedido perfecto en tu WhatsApp,Mostrar el mensaje estructurado que llega listo para cocina.,Así cae el pedido en tu WhatsApp: ordenado y sumado,Ticket impecable,[T05-product] Ticket impecable,"Así cae el pedido en tu WhatsApp: ordenado y sumado

Mostrar el mensaje estructurado que llega listo para cocina.

Así de simple: tu comida bien mostrada y el pedido perfecto en tu WhatsApp. Sin comisiones, sin apps que descargar.

Pídenos una demo por WhatsApp. Sin compromiso.

#StreetBoss #VendeDirecto #Restaurantes",Pídenos una demo por WhatsApp. Sin compromiso.,#StreetBoss #VendeDirecto #Restaurantes,1080x1920,22-32s,Fondo/escena IA (prompt visual) · Logo SVG maestro (brand-core) · Screen capture real del escaparate · Tipografía Poppins/Inter,"Mockup 3D hiperrealista de un celular mostrando un escaparate digital de restaurante (interfaz oscura, tarjetas de producto con foto grande y botón naranja), sostenido por una mano sobre una mesa de restaurante con ingredientes desenfocados al fondo (bokeh). Iluminación de estudio dramática, fondo oscuro. Concepto: El pedido perfecto en tu WhatsApp. Sin logo (se integra después). Proporciones de UI precisas y legibles. Dirección de arte StreetBoss: flat premium, alto contraste, fondo oscuro Boss Charcoal (#0D0E12), acentos naranja #FF4B00, iluminación moody y luz dura, sin logo, sin texto generado, espacio negativo para integrar tipografía y logo después. Ratio 9:16 vertical salvo indicación.",Screen-capture real de la interfaz + planos B-roll de la mano tocando la pantalla. Movimiento de seguimiento suave del dedo (tap → agregar → enviar). Zoom sutil al ticket de WhatsApp. Cortes rápidos al beat.,04-social-templates/product/T05-product.md,day-10_el-pedido-perfecto-en-tu-whatsapp_product.png,07-reels/month-01/,PENDIENTE,NO APROBADO,14:00,"Adaptar hook/duración por plataforma: TikTok, YouTube Short."
